"","date","category","content"
"1",2018-01-01 12:00:00,"A","Warn"
"2",2018-01-01 12:20:00,"B","No clue"
"3",2018-01-01 12:40:00,"C","No clue"
"4",2018-01-01 13:00:00,"A","Check with author"
"5",2018-01-01 13:20:00,"B","No clue"
"6",2018-01-01 13:40:00,"C","Error"
"7",2018-01-01 14:00:00,"A","Debug"
"8",2018-01-01 14:20:00,"B","No clue"
"9",2018-01-01 14:40:00,"C","Warn"
"10",2018-01-01 15:00:00,"A","Debug"
"11",2018-01-01 15:20:00,"B","Debug"
"12",2018-01-01 15:40:00,"C","Check with author"
"13",2018-01-01 16:00:00,"A","Error"
"14",2018-01-01 16:20:00,"B","No clue"
"15",2018-01-01 16:40:00,"C","Debug"
"16",2018-01-01 17:00:00,"A","Error"
"17",2018-01-01 17:20:00,"B","Attach"
"18",2018-01-01 17:40:00,"C","Limit"
"19",2018-01-01 18:00:00,"A","Attach"
"20",2018-01-01 18:20:00,"B","Warn"
"21",2018-01-01 18:40:00,"C","Error"
"22",2018-01-01 19:00:00,"A","Limit"
"23",2018-01-01 19:20:00,"B","Debug"
"24",2018-01-01 19:40:00,"C","Debug"
"25",2018-01-01 20:00:00,"A","No clue"
"26",2018-01-01 20:20:00,"B","Attach"
"27",2018-01-01 20:40:00,"C","No clue"
"28",2018-01-01 21:00:00,"A","No clue"
"29",2018-01-01 21:20:00,"B","Check with author"
"30",2018-01-01 21:40:00,"C","Debug"
"31",2018-01-01 22:00:00,"A","Check with author"
"32",2018-01-01 22:20:00,"B","Debug"
"33",2018-01-01 22:40:00,"C","Check with author"
"34",2018-01-01 23:00:00,"A","Check with author"
"35",2018-01-01 23:20:00,"B","Check with author"
"36",2018-01-01 23:40:00,"C","Limit"
"37",2018-01-02 00:00:00,"A","Check with author"
"38",2018-01-02 00:20:00,"B","No clue"
"39",2018-01-02 00:40:00,"C","Warn"
"40",2018-01-02 01:00:00,"A","Check with author"
"41",2018-01-02 01:20:00,"B","Limit"
"42",2018-01-02 01:40:00,"C","Check with author"
"43",2018-01-02 02:00:00,"A","Error"
"44",2018-01-02 02:20:00,"B","Debug"
"45",2018-01-02 02:40:00,"C","Debug"
"46",2018-01-02 03:00:00,"A","Error"
"47",2018-01-02 03:20:00,"B","Limit"
"48",2018-01-02 03:40:00,"C","Check with author"
"49",2018-01-02 04:00:00,"A","Limit"
"50",2018-01-02 04:20:00,"B","Debug"
"51",2018-01-02 04:40:00,"C","Check with author"
"52",2018-01-02 05:00:00,"A","Error"
"53",2018-01-02 05:20:00,"B","Error"
"54",2018-01-02 05:40:00,"C","Warn"
"55",2018-01-02 06:00:00,"A","Limit"
"56",2018-01-02 06:20:00,"B","Limit"
"57",2018-01-02 06:40:00,"C","Attach"
"58",2018-01-02 07:00:00,"A","Limit"
"59",2018-01-02 07:20:00,"B","Limit"
"60",2018-01-02 07:40:00,"C","No clue"
"61",2018-01-02 08:00:00,"A","No clue"
"62",2018-01-02 08:20:00,"B","Warn"
"63",2018-01-02 08:40:00,"C","Error"
"64",2018-01-02 09:00:00,"A","Limit"
"65",2018-01-02 09:20:00,"B","Attach"
"66",2018-01-02 09:40:00,"C","Debug"
"67",2018-01-02 10:00:00,"A","Limit"
"68",2018-01-02 10:20:00,"B","Attach"
"69",2018-01-02 10:40:00,"C","Check with author"
"70",2018-01-02 11:00:00,"A","Check with author"
"71",2018-01-02 11:20:00,"B","Limit"
"72",2018-01-02 11:40:00,"C","Limit"
"73",2018-01-02 12:00:00,"A","Limit"
"74",2018-01-02 12:20:00,"B","Warn"
"75",2018-01-02 12:40:00,"C","Attach"
"76",2018-01-02 13:00:00,"A","Limit"
"77",2018-01-02 13:20:00,"B","Debug"
"78",2018-01-02 13:40:00,"C","No clue"
"79",2018-01-02 14:00:00,"A","Attach"
"80",2018-01-02 14:20:00,"B","Attach"
"81",2018-01-02 14:40:00,"C","No clue"
"82",2018-01-02 15:00:00,"A","Limit"
"83",2018-01-02 15:20:00,"B","Check with author"
"84",2018-01-02 15:40:00,"C","Check with author"
"85",2018-01-02 16:00:00,"A","Check with author"
"86",2018-01-02 16:20:00,"B","Debug"
"87",2018-01-02 16:40:00,"C","Error"
"88",2018-01-02 17:00:00,"A","Attach"
"89",2018-01-02 17:20:00,"B","Attach"
"90",2018-01-02 17:40:00,"C","Attach"
"91",2018-01-02 18:00:00,"A","Debug"
"92",2018-01-02 18:20:00,"B","Attach"
"93",2018-01-02 18:40:00,"C","Attach"
"94",2018-01-02 19:00:00,"A","Warn"
"95",2018-01-02 19:20:00,"B","No clue"
"96",2018-01-02 19:40:00,"C","Warn"
"97",2018-01-02 20:00:00,"A","Error"
"98",2018-01-02 20:20:00,"B","Debug"
"99",2018-01-02 20:40:00,"C","Check with author"
"100",2018-01-02 21:00:00,"A","Limit"
"101",2018-01-02 21:20:00,"B","Limit"
"102",2018-01-02 21:40:00,"C","Debug"
"103",2018-01-02 22:00:00,"A","Check with author"
"104",2018-01-02 22:20:00,"B","No clue"
"105",2018-01-02 22:40:00,"C","Attach"
"106",2018-01-02 23:00:00,"A","Debug"
"107",2018-01-02 23:20:00,"B","Debug"
"108",2018-01-02 23:40:00,"C","Debug"
"109",2018-01-03 00:00:00,"A","Limit"
"110",2018-01-03 00:20:00,"B","Warn"
"111",2018-01-03 00:40:00,"C","Limit"
"112",2018-01-03 01:00:00,"A","Check with author"
"113",2018-01-03 01:20:00,"B","Debug"
"114",2018-01-03 01:40:00,"C","No clue"
"115",2018-01-03 02:00:00,"A","No clue"
"116",2018-01-03 02:20:00,"B","Error"
"117",2018-01-03 02:40:00,"C","No clue"
"118",2018-01-03 03:00:00,"A","Warn"
"119",2018-01-03 03:20:00,"B","Error"
"120",2018-01-03 03:40:00,"C","Limit"
"121",2018-01-03 04:00:00,"A","No clue"
"122",2018-01-03 04:20:00,"B","Warn"
"123",2018-01-03 04:40:00,"C","Debug"
"124",2018-01-03 05:00:00,"A","Warn"
"125",2018-01-03 05:20:00,"B","Limit"
"126",2018-01-03 05:40:00,"C","Warn"
"127",2018-01-03 06:00:00,"A","Warn"
"128",2018-01-03 06:20:00,"B","Check with author"
"129",2018-01-03 06:40:00,"C","Check with author"
"130",2018-01-03 07:00:00,"A","Warn"
"131",2018-01-03 07:20:00,"B","Warn"
"132",2018-01-03 07:40:00,"C","Limit"
"133",2018-01-03 08:00:00,"A","Check with author"
"134",2018-01-03 08:20:00,"B","Limit"
"135",2018-01-03 08:40:00,"C","No clue"
"136",2018-01-03 09:00:00,"A","No clue"
"137",2018-01-03 09:20:00,"B","Check with author"
"138",2018-01-03 09:40:00,"C","Warn"
"139",2018-01-03 10:00:00,"A","Limit"
"140",2018-01-03 10:20:00,"B","Debug"
"141",2018-01-03 10:40:00,"C","Check with author"
"142",2018-01-03 11:00:00,"A","Check with author"
"143",2018-01-03 11:20:00,"B","Check with author"
"144",2018-01-03 11:40:00,"C","Error"
"145",2018-01-03 12:00:00,"A","Attach"
"146",2018-01-03 12:20:00,"B","No clue"
"147",2018-01-03 12:40:00,"C","Check with author"
"148",2018-01-03 13:00:00,"A","Error"
"149",2018-01-03 13:20:00,"B","Debug"
"150",2018-01-03 13:40:00,"C","Error"
"151",2018-01-03 14:00:00,"A","Attach"
"152",2018-01-03 14:20:00,"B","Limit"
"153",2018-01-03 14:40:00,"C","Error"
"154",2018-01-03 15:00:00,"A","Error"
"155",2018-01-03 15:20:00,"B","Error"
"156",2018-01-03 15:40:00,"C","Attach"
"157",2018-01-03 16:00:00,"A","Debug"
"158",2018-01-03 16:20:00,"B","Error"
"159",2018-01-03 16:40:00,"C","Debug"
"160",2018-01-03 17:00:00,"A","Limit"
"161",2018-01-03 17:20:00,"B","Debug"
"162",2018-01-03 17:40:00,"C","Attach"
"163",2018-01-03 18:00:00,"A","Check with author"
"164",2018-01-03 18:20:00,"B","Attach"
"165",2018-01-03 18:40:00,"C","Limit"
"166",2018-01-03 19:00:00,"A","Attach"
"167",2018-01-03 19:20:00,"B","Warn"
"168",2018-01-03 19:40:00,"C","Error"
"169",2018-01-03 20:00:00,"A","Limit"
"170",2018-01-03 20:20:00,"B","Check with author"
"171",2018-01-03 20:40:00,"C","Debug"
"172",2018-01-03 21:00:00,"A","Check with author"
"173",2018-01-03 21:20:00,"B","Limit"
"174",2018-01-03 21:40:00,"C","Debug"
"175",2018-01-03 22:00:00,"A","Debug"
"176",2018-01-03 22:20:00,"B","Attach"
"177",2018-01-03 22:40:00,"C","Attach"
"178",2018-01-03 23:00:00,"A","Attach"
"179",2018-01-03 23:20:00,"B","Attach"
"180",2018-01-03 23:40:00,"C","Error"
"181",2018-01-04 00:00:00,"A","Warn"
"182",2018-01-04 00:20:00,"B","Limit"
"183",2018-01-04 00:40:00,"C","Error"
"184",2018-01-04 01:00:00,"A","Limit"
"185",2018-01-04 01:20:00,"B","Limit"
"186",2018-01-04 01:40:00,"C","Debug"
"187",2018-01-04 02:00:00,"A","Warn"
"188",2018-01-04 02:20:00,"B","Limit"
"189",2018-01-04 02:40:00,"C","Limit"
"190",2018-01-04 03:00:00,"A","No clue"
"191",2018-01-04 03:20:00,"B","Debug"
"192",2018-01-04 03:40:00,"C","Check with author"
"193",2018-01-04 04:00:00,"A","Warn"
"194",2018-01-04 04:20:00,"B","Debug"
"195",2018-01-04 04:40:00,"C","Warn"
"196",2018-01-04 05:00:00,"A","Check with author"
"197",2018-01-04 05:20:00,"B","Check with author"
"198",2018-01-04 05:40:00,"C","Limit"
"199",2018-01-04 06:00:00,"A","No clue"
"200",2018-01-04 06:20:00,"B","Check with author"
"201",2018-01-04 06:40:00,"C","Error"
"202",2018-01-04 07:00:00,"A","Error"
"203",2018-01-04 07:20:00,"B","Attach"
"204",2018-01-04 07:40:00,"C","No clue"
"205",2018-01-04 08:00:00,"A","No clue"
"206",2018-01-04 08:20:00,"B","Debug"
"207",2018-01-04 08:40:00,"C","Error"
"208",2018-01-04 09:00:00,"A","Limit"
"209",2018-01-04 09:20:00,"B","Check with author"
"210",2018-01-04 09:40:00,"C","Debug"
"211",2018-01-04 10:00:00,"A","No clue"
"212",2018-01-04 10:20:00,"B","Error"
"213",2018-01-04 10:40:00,"C","Warn"
"214",2018-01-04 11:00:00,"A","Debug"
"215",2018-01-04 11:20:00,"B","Error"
"216",2018-01-04 11:40:00,"C","Debug"
"217",2018-01-04 12:00:00,"A","Warn"
"218",2018-01-04 12:20:00,"B","Warn"
"219",2018-01-04 12:40:00,"C","Limit"
"220",2018-01-04 13:00:00,"A","Error"
"221",2018-01-04 13:20:00,"B","Attach"
"222",2018-01-04 13:40:00,"C","No clue"
"223",2018-01-04 14:00:00,"A","Error"
"224",2018-01-04 14:20:00,"B","Limit"
"225",2018-01-04 14:40:00,"C","Check with author"
"226",2018-01-04 15:00:00,"A","Error"
"227",2018-01-04 15:20:00,"B","Attach"
"228",2018-01-04 15:40:00,"C","Error"
"229",2018-01-04 16:00:00,"A","No clue"
"230",2018-01-04 16:20:00,"B","Warn"
"231",2018-01-04 16:40:00,"C","Limit"
"232",2018-01-04 17:00:00,"A","Error"
"233",2018-01-04 17:20:00,"B","Attach"
"234",2018-01-04 17:40:00,"C","Attach"
"235",2018-01-04 18:00:00,"A","No clue"
"236",2018-01-04 18:20:00,"B","Warn"
"237",2018-01-04 18:40:00,"C","Debug"
"238",2018-01-04 19:00:00,"A","No clue"
"239",2018-01-04 19:20:00,"B","No clue"
"240",2018-01-04 19:40:00,"C","Error"
"241",2018-01-04 20:00:00,"A","Warn"
"242",2018-01-04 20:20:00,"B","Check with author"
"243",2018-01-04 20:40:00,"C","Debug"
"244",2018-01-04 21:00:00,"A","Check with author"
"245",2018-01-04 21:20:00,"B","Attach"
"246",2018-01-04 21:40:00,"C","Warn"
"247",2018-01-04 22:00:00,"A","No clue"
"248",2018-01-04 22:20:00,"B","Limit"
"249",2018-01-04 22:40:00,"C","No clue"
"250",2018-01-04 23:00:00,"A","Check with author"
"251",2018-01-04 23:20:00,"B","Debug"
"252",2018-01-04 23:40:00,"C","Check with author"
"253",2018-01-05 00:00:00,"A","No clue"
"254",2018-01-05 00:20:00,"B","Warn"
"255",2018-01-05 00:40:00,"C","No clue"
"256",2018-01-05 01:00:00,"A","Warn"
"257",2018-01-05 01:20:00,"B","Limit"
"258",2018-01-05 01:40:00,"C","Debug"
"259",2018-01-05 02:00:00,"A","Check with author"
"260",2018-01-05 02:20:00,"B","Check with author"
"261",2018-01-05 02:40:00,"C","Attach"
"262",2018-01-05 03:00:00,"A","Check with author"
"263",2018-01-05 03:20:00,"B","Attach"
"264",2018-01-05 03:40:00,"C","Error"
"265",2018-01-05 04:00:00,"A","Warn"
"266",2018-01-05 04:20:00,"B","Error"
"267",2018-01-05 04:40:00,"C","Check with author"
"268",2018-01-05 05:00:00,"A","Limit"
"269",2018-01-05 05:20:00,"B","Debug"
"270",2018-01-05 05:40:00,"C","No clue"
"271",2018-01-05 06:00:00,"A","Error"
"272",2018-01-05 06:20:00,"B","Warn"
"273",2018-01-05 06:40:00,"C","Check with author"
"274",2018-01-05 07:00:00,"A","Check with author"
"275",2018-01-05 07:20:00,"B","Limit"
"276",2018-01-05 07:40:00,"C","Limit"
"277",2018-01-05 08:00:00,"A","Check with author"
"278",2018-01-05 08:20:00,"B","Check with author"
"279",2018-01-05 08:40:00,"C","Limit"
"280",2018-01-05 09:00:00,"A","Limit"
"281",2018-01-05 09:20:00,"B","Error"
"282",2018-01-05 09:40:00,"C","No clue"
"283",2018-01-05 10:00:00,"A","Warn"
"284",2018-01-05 10:20:00,"B","Warn"
"285",2018-01-05 10:40:00,"C","Check with author"
"286",2018-01-05 11:00:00,"A","Debug"
"287",2018-01-05 11:20:00,"B","No clue"
"288",2018-01-05 11:40:00,"C","No clue"
"289",2018-01-05 12:00:00,"A","No clue"
"290",2018-01-05 12:20:00,"B","Error"
"291",2018-01-05 12:40:00,"C","No clue"
"292",2018-01-05 13:00:00,"A","Attach"
"293",2018-01-05 13:20:00,"B","Error"
"294",2018-01-05 13:40:00,"C","Debug"
"295",2018-01-05 14:00:00,"A","Check with author"
"296",2018-01-01 12:00:00,"B","Debug"
"297",2018-01-01 12:20:00,"C","Warn"
"298",2018-01-01 12:40:00,"A","No clue"
"299",2018-01-01 13:00:00,"B","Attach"
"300",2018-01-01 13:20:00,"C","Check with author"
"301",2018-01-01 13:40:00,"A","Limit"
"302",2018-01-01 14:00:00,"B","Debug"
"303",2018-01-01 14:20:00,"C","No clue"
"304",2018-01-01 14:40:00,"A","Limit"
"305",2018-01-01 15:00:00,"B","Debug"
"306",2018-01-01 15:20:00,"C","Check with author"
"307",2018-01-01 15:40:00,"A","Error"
"308",2018-01-01 16:00:00,"B","Check with author"
"309",2018-01-01 16:20:00,"C","Attach"
"310",2018-01-01 16:40:00,"A","Attach"
"311",2018-01-01 17:00:00,"B","No clue"
"312",2018-01-01 17:20:00,"C","No clue"
"313",2018-01-01 17:40:00,"A","Limit"
"314",2018-01-01 18:00:00,"B","Error"
"315",2018-01-01 18:20:00,"C","Warn"
"316",2018-01-01 18:40:00,"A","Check with author"
"317",2018-01-01 19:00:00,"B","Check with author"
"318",2018-01-01 19:20:00,"C","Attach"
"319",2018-01-01 19:40:00,"A","Debug"
"320",2018-01-01 20:00:00,"B","Check with author"
"321",2018-01-01 20:20:00,"C","Debug"
"322",2018-01-01 20:40:00,"A","Check with author"
"323",2018-01-01 21:00:00,"B","Warn"
"324",2018-01-01 21:20:00,"C","Attach"
"325",2018-01-01 21:40:00,"A","Check with author"
"326",2018-01-01 22:00:00,"B","No clue"
"327",2018-01-01 22:20:00,"C","Error"
"328",2018-01-01 22:40:00,"A","Check with author"
"329",2018-01-01 23:00:00,"B","Check with author"
"330",2018-01-01 23:20:00,"C","Attach"
"331",2018-01-01 23:40:00,"A","Warn"
"332",2018-01-02 00:00:00,"B","Error"
"333",2018-01-02 00:20:00,"C","No clue"
"334",2018-01-02 00:40:00,"A","Warn"
"335",2018-01-02 01:00:00,"B","Attach"
"336",2018-01-02 01:20:00,"C","Check with author"
"337",2018-01-02 01:40:00,"A","Attach"
"338",2018-01-02 02:00:00,"B","Debug"
"339",2018-01-02 02:20:00,"C","Attach"
"340",2018-01-02 02:40:00,"A","Check with author"
"341",2018-01-02 03:00:00,"B","No clue"
"342",2018-01-02 03:20:00,"C","Error"
"343",2018-01-02 03:40:00,"A","Error"
"344",2018-01-02 04:00:00,"B","No clue"
"345",2018-01-02 04:20:00,"C","Check with author"
"346",2018-01-02 04:40:00,"A","No clue"
"347",2018-01-02 05:00:00,"B","Attach"
"348",2018-01-02 05:20:00,"C","Debug"
"349",2018-01-02 05:40:00,"A","Check with author"
"350",2018-01-02 06:00:00,"B","Attach"
"351",2018-01-02 06:20:00,"C","Limit"
"352",2018-01-02 06:40:00,"A","No clue"
"353",2018-01-02 07:00:00,"B","Limit"
"354",2018-01-02 07:20:00,"C","Limit"
"355",2018-01-02 07:40:00,"A","Check with author"
"356",2018-01-02 08:00:00,"B","No clue"
"357",2018-01-02 08:20:00,"C","Check with author"
"358",2018-01-02 08:40:00,"A","Warn"
"359",2018-01-02 09:00:00,"B","Limit"
"360",2018-01-02 09:20:00,"C","Debug"
"361",2018-01-02 09:40:00,"A","Check with author"
"362",2018-01-02 10:00:00,"B","Check with author"
"363",2018-01-02 10:20:00,"C","Error"
"364",2018-01-02 10:40:00,"A","Limit"
"365",2018-01-02 11:00:00,"B","Check with author"
"366",2018-01-02 11:20:00,"C","Warn"
"367",2018-01-02 11:40:00,"A","Error"
"368",2018-01-02 12:00:00,"B","Attach"
"369",2018-01-02 12:20:00,"C","No clue"
"370",2018-01-02 12:40:00,"A","Limit"
"371",2018-01-02 13:00:00,"B","Limit"
"372",2018-01-02 13:20:00,"C","Debug"
"373",2018-01-02 13:40:00,"A","No clue"
"374",2018-01-02 14:00:00,"B","Warn"
"375",2018-01-02 14:20:00,"C","No clue"
"376",2018-01-02 14:40:00,"A","Attach"
"377",2018-01-02 15:00:00,"B","Error"
"378",2018-01-02 15:20:00,"C","Limit"
"379",2018-01-02 15:40:00,"A","Limit"
"380",2018-01-02 16:00:00,"B","Warn"
"381",2018-01-02 16:20:00,"C","Attach"
"382",2018-01-02 16:40:00,"A","Warn"
"383",2018-01-02 17:00:00,"B","Check with author"
"384",2018-01-02 17:20:00,"C","Error"
"385",2018-01-02 17:40:00,"A","Warn"
"386",2018-01-02 18:00:00,"B","Warn"
"387",2018-01-02 18:20:00,"C","Warn"
"388",2018-01-02 18:40:00,"A","No clue"
"389",2018-01-02 19:00:00,"B","No clue"
"390",2018-01-02 19:20:00,"C","Attach"
"391",2018-01-02 19:40:00,"A","No clue"
"392",2018-01-02 20:00:00,"B","Warn"
"393",2018-01-02 20:20:00,"C","Attach"
"394",2018-01-02 20:40:00,"A","Warn"
"395",2018-01-02 21:00:00,"B","Attach"
"396",2018-01-02 21:20:00,"C","Check with author"
"397",2018-01-02 21:40:00,"A","Attach"
"398",2018-01-02 22:00:00,"B","Check with author"
"399",2018-01-02 22:20:00,"C","Limit"
"400",2018-01-02 22:40:00,"A","Debug"
"401",2018-01-02 23:00:00,"B","Check with author"
"402",2018-01-02 23:20:00,"C","No clue"
"403",2018-01-02 23:40:00,"A","No clue"
"404",2018-01-03 00:00:00,"B","Limit"
"405",2018-01-03 00:20:00,"C","Error"
"406",2018-01-03 00:40:00,"A","Limit"
"407",2018-01-03 01:00:00,"B","Attach"
"408",2018-01-03 01:20:00,"C","Debug"
"409",2018-01-03 01:40:00,"A","Limit"
"410",2018-01-03 02:00:00,"B","Debug"
"411",2018-01-03 02:20:00,"C","Limit"
"412",2018-01-03 02:40:00,"A","Attach"
"413",2018-01-03 03:00:00,"B","Debug"
"414",2018-01-03 03:20:00,"C","Debug"
"415",2018-01-03 03:40:00,"A","Attach"
"416",2018-01-03 04:00:00,"B","Error"
"417",2018-01-03 04:20:00,"C","Check with author"
"418",2018-01-03 04:40:00,"A","Attach"
